Provincia,Partido,Localidad,ADSL,CableModem,Dial Up,Fibra Optica,Otras conexiones,Satelital,WIMAX,Wireless,Total general,Poblacion,Telefonia Fija,Latitud,Longitud
CHACO,Libertador General San Martín,Laguna Limpia,0,0,0,0,0,0,0,32,32,1207,--,-26.4967013914467,-59.6799372880349
CHACO,Libertador General San Martín,Pampa Almirón,0,0,0,26,0,0,0,55,81,1278,--,-26.702247857191,-59.1237850343206
CHACO,Libertador General San Martín,Pampa del Indio,0,0,0,25,0,2,0,757,784,9204,SI,-26.050714758193,-59.9412241077467
CHACO,Libertador General San Martín,Presidencia Roca,0,0,0,13,0,2,0,196,211,4201,SI,-26.1402007626997,-59.5968452905131
CHACO,Maipú,Tres Isletas,461,0,0,0,0,0,0,77,538,16976,SI,-26.3378349285309,-60.4299349548752
CHACO,Mayor Luis J. Fontana,Coronel Du Graty,122,73,0,264,0,1,0,516,976,7509,--,-27.682571155615,-60.9091956314644
CHACO,Mayor Luis J. Fontana,Enrique Urién,0,0,0,37,0,1,0,0,38,515,--,-27.5587251493486,-60.5259907543736
CHACO,Mayor Luis J. Fontana,Villa Angela,2756,1,0,852,0,0,0,406,4015,41403,SI,-27.5788592432947,-60.7141120066309
CHACO,O Higgins,La Clotilde,0,32,0,78,116,1,0,0,227,3382,--,-27.1781993384686,-60.6315741848515
CHACO,O Higgins,La Tigra,1,0,0,0,252,1,0,0,254,2866,--,-27.1157899755692,-60.5898941741226
CHACO,O Higgins,San Bernardo,147,0,0,14,38,3,0,0,202,9379,--,-27.2904384132604,-60.7149736332961
CHACO,Presidencia de la Plaza,Presidencia de la Plaza,216,327,0,58,0,0,0,0,601,9642,SI,-27.0029714359347,-59.847600385659
CHACO,Quitilipi,Quitilipi,884,0,0,69,0,0,0,123,1076,24517,SI,-26.8732071732978,-60.2185241226399
CHACO,Quitilipi,Villa El Palmar,0,0,0,0,0,0,0,43,43,879,--,-26.4551186226266,-60.1646165913523
CHACO,San Fernando,Barranqueras,115,3865,0,146,0,0,0,15,4141,54698,SI,-27.4877739289761,-58.9327416886365
CHACO,San Fernando,Basail,98,67,0,0,0,1,0,57,223,1929,SI,-27.8868655966917,-59.2791003619491
CHACO,San Fernando,Fontana,0,0,0,110,0,0,0,70,180,32027,--,-27.4167127425858,-59.04393778912
CHACO,San Fernando,Puerto Vilelas,0,0,0,9,0,1,0,0,10,8278,--,-27.5106090846354,-58.938994465923
CHACO,San Fernando,Resistencia,11650,55188,5,25299,2,6,0,223,92373,290723,SI,-27.4521194584549,-58.9876174408016
CHACO,San Lorenzo,Samuhú,0,0,0,0,0,1,0,0,1,1251,--,-27.5222254234698,-60.3941746057505
CHACO,San Lorenzo,Villa Berthet,0,0,0,32,0,1,0,755,788,10224,--,-27.2895492409257,-60.4155962080604
CHACO,Sargento Cabral,Capitán Solari,0,0,0,81,0,0,0,0,81,1888,SI,-26.8050732181615,-59.5596523744138
CHACO,Sargento Cabral,Colonia Elisa,0,0,0,0,0,2,0,0,2,3471,SI,-26.9324550960675,-59.5204851339373
CHACO,Sargento Cabral,Colonias Unidas,0,0,0,250,0,0,0,15,265,3282,SI,-26.7000971775462,-59.6277421824927
CHACO,Sargento Cabral,Las Garcitas,0,0,0,0,0,1,0,119,120,3711,SI,-26.6193460346699,-59.8042763819042
CHACO,Tapenagá,Charadai,0,0,0,27,0,1,0,0,28,1519,SI,-27.6553304709616,-59.8624460245382
CHUBUT,Biedma,Arroyo Verde,0,0,0,0,0,2,0,0,2,59,--,-42.0119886969656,-65.3064500926092
CHUBUT,Biedma,Puerto Madryn,3648,24433,200,3781,5283,9,0,2762,40116,81315,SI,-42.7550996783449,-65.0422298178163
CHUBUT,Biedma,Puerto Pirámide,0,0,0,0,0,1,0,37,38,565,SI,-42.5736171931039,-64.2836893467339
CHUBUT,Biedma,Quinta El Mirador,0,0,0,0,0,0,0,22,22,626,--,-42.811590013144,-65.051417803805
CHUBUT,Biedma,Reserva Area Protegida El Doradillo,0,0,0,0,0,0,0,127,127,54,--,-42.6456158957863,-65.0647229672572
CHUBUT,Cushamen,Cholila,0,0,1,0,0,1,0,0,2,1658,SI,-42.5105313648355,-71.4351548288659
CHUBUT,Cushamen,El Hoyo,216,0,0,319,0,0,0,709,1244,1477,SI,-42.0679666637038,-71.5206708370904
